130,(주)버드레터,대전광역시 유성구,"정보처리, S/W",모바일 게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발  
131,(주)비트버스,대전광역시 대덕구,제조업              ,그 외 기타 전자부품 제조업,코딩키트 응용/임베디드 소프트웨어 
132,(주)옥스,대전광역시 유성구,제조업              ,기타 반도체소자 제조업,"열전반도체, 열전냉각장치, 열전냉장고, 연성인쇄회로기판, 인쇄전자잉크, 인쇄전자기판  "
133,(주)보림파워텍,대전광역시 유성구,제조업              ,일차전지 제조업,연료전지부품 및 시스템 풍력발전부품 및 시스템 
134,(주)블루코드,대전광역시 유성구,제조업              ,반도체 제조용 기계 제조업,크린룸FFU 감시제어시스템 반도체장비 
135,(주)블루포인트파트너스,대전광역시 유성구,기타                ,경영 컨설팅업,경영및투자컨설팅  
136,(주)블루시스,대전광역시 유성구,제조업              ,산업처리공정 제어장비 제조업,인쇄전자장비 제어시스템 자동차 제어장치 
137,(주)블루텍,대전광역시 유성구,제조업              ,기타 무선 통신장비 제조업,유무선통신장치  
138,(주)와이엔디케이,대전광역시 유성구,제조업              ,절삭가공 및 유사처리업,금형코어 초정밀 부품 연구장비 부품
139,브레인존,대전광역시 서구,기타                ,"광고물 문안, 도안, 설계 등 작성업",산업광고디자인  
140,(주)비엠시스,대전광역시 유성구,제조업              ,신발 부분품 제조업,건축용 폴리우레탄 접착제 단열재 도소매 기능성 인솔
141,(주)비엠테크,대전광역시 유성구,제조업              ,인쇄회로기판용 적층판 제조업,PCB 회로설계 PCB 회로기판 
142,(주)비엠웍스,대전광역시 유성구,제조업              ,산업용 로봇 제조업,험지구동 로봇 서비스 로봇 핵연료外
143,알티피코리아(주),대전광역시 유성구,제조업              ,기기용 자동측정 및 제어장치 제조업,제어계측장비 및 시스템 네트워크시스템 
144,비앤에프테크놀로지(주),대전광역시 유성구,"정보처리, S/W",시스템 소프트웨어 개발 및 공급업,"플랜트예측진단시스템,조기경보시스템  "
145,(주)바이오뉴트리젠,대전광역시 유성구,제조업              ,건강기능식품 제조업,숙취경감소재(JBB20) 체중조절소재(Slim&Slim) 당대사개선소재(Diaclean)
146,(주)봄소프트,대전광역시 유성구,"정보처리, S/W",응용 소프트웨어 개발 및 공급업,애플리케이션 홈페이지제작 
147,(주)부강테크,대전광역시 유성구,제조업              ,액체 여과기 제조업,바이오세라믹시스템(BCS SYSTEM)  
148,(주)보탬,대전광역시 서구,제조업              ,"전기회로 개폐, 보호장치 제조업",카운트 센서 스위치  
149,(주)보템시스,대전 유성구,제조업              ,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업","신호수집, 변환기 계측, 제어기 "
150,블랙펄시큐리티,대전광역시 유성구,"정보처리, S/W",시스템 소프트웨어 개발 및 공급업,보안서비스 보안솔루션소프트웨어 
151,(주)바이오오케스트라,대전광역시 유성구,제조업              ,의료용품 및 기타 의약 관련제품 제조업,알츠하이머진단기기외  
152,(주)브릿지,대전광역시 서구,"정보처리, S/W",시스템 소프트웨어 개발 및 공급업,"AR,VR 실감체험형 시스템 웨어러블 디바이스 "
153,(주)부러쉬라인,대전광역시 동구,제조업              ,비 및 솔 제조업,치간 치솔 실리콘 치실 
154,(주)스트림비젼,대전광역시 대덕구,제조업              ,방송장비 제조업,"디지탈IPTV방송 영상압축 솔루션 SV-ESLl2, SV-ESLM 등  "
155,(주)성준,대전광역시 유성구,제조업              ,복합비료 및 기타 화학비료 제조업,진메이트(인삼용비료) 땅도움 
156,(주)마라나노텍코리아,대전광역시 유성구,제조업              ,전기식 진단 및 요법 기기 제조업,나노/마이크로 전극(진단키트용)  
157,밥스(주),대전광역시 유성구,제조업              ,그 외 기타 달리 분류되지 않은 제품 제조업,"복합재료부품(로봇핸드.파이프롤러,자동차경량화부품등)  "
158,(주)봄헬스케어,대전광역시 서구,제조업              ,배합 사료 제조업,반려동물 성별 전용 고기능성 사료  
159,(주)보노아이씨티,대전광역시 유성구,"정보처리, S/W",응용 소프트웨어 개발 및 공급업,음성인식 S/W 및 H/W 솔루션  
160,(주)피플맥(People Mac.inc),대전광역시 중구,"정보처리, S/W",시스템 소프트웨어 개발 및 공급업,조의금 모바일 시스템  
161,(주)비티진,대전광역시 유성구,제조업              ,건강기능식품 제조업,"홍삼농축액, 홍삼파우더 홍삼캡슐, 홍삼드링크, 홍삼화장품 외 "
162,아모스팜,대전광역시 대덕구,도소매업            ,의약품 도매업,아모부로펜주  
163,(주)번영,대전 유성구,제조업              ,산업처리공정 제어장비 제조업,"지문인식 테스트 장비 액츄에이터 제어기, 파워 제어기 "
164,(주)케이앤에스아이앤씨,대전광역시 유성구,제조업              ,기타 무선 통신장비 제조업,해양용 3축 위성안테나 소프트웨어 
165,블루웨이브텔(주),대전광역시 유성구,제조업              ,기타 무선 통신장비 제조업,안테나 및 RF모듈  
166,(주)케이웍스,대전광역시 유성구,"정보처리, S/W",시스템 소프트웨어 개발 및 공급업,위치정보 솔루션 위치정보 단말기(PAM) 산불상황감시 전용 GPS 단말기
167,(주)콜온,대전광역시 동구,"정보처리, S/W       ",포털 및 기타 인터넷 정보매개 서비스업,CTI시스템 및 CRM서비스 지능형 방송시스템 건축용 단열재(상품)
168,(주)코튼캔디,대전광역시 유성구,"정보처리, S/W",시스템 소프트웨어 개발 및 공급업,소프트웨어  
169,(주)중앙백신연구소,대전광역시 유성구,제조업              ,동물용 의약품 제조업,동물백신  
170,씨비에스바이오사이언스(주),대전광역시 유성구,연구개발서비스      ,의학 및 약학 연구개발업,유전체분석  
171,(주)세레코,대전광역시 대덕구,제조업              ,화장품 제조업,기능성 화장품  
172,(주)셀아이콘랩,대전광역시 유성구,제조업              ,화장품 제조업,화장품 원료  기능성화장품 
