등록번호,영업종류,영업장명칭,지번주소,도로명주소
5350000-049-2018-0012,동물미용업(일반),똥강아지,경상남도 김해시 외동 1255-4 ,"경상남도 김해시 내외중앙로 41, 120호 (외동)"
5350000-049-2018-0015,동물미용업(일반),해강아지 달고양이,경상남도 김해시 부곡동 1157-6 석봉마을대동피렌체3단지아파트상가 ,"경상남도 김해시 월산로 60, 석봉마을대동피렌체3단지아파트상가 103호 (부곡동)"
5350000-049-2018-0019,동물미용업(일반),멍멍살롱,경상남도 김해시 진영읍 진영리 1596-13 ,"경상남도 김해시 진영읍 진산대로26번길 14-6, 언진빌라"
5350000-049-2018-0020,동물미용업(일반),주주 동물병원,경상남도 김해시 관동동 590 ,"경상남도 김해시 덕정로 85, 주주 동물병원 1층 (관동동)"
5350000-049-2018-0022,동물미용업(일반),품이네 애견방,경상남도 김해시 부곡동 805-1 월산마을주공11단지아파트상가 103호,"경상남도 김해시 월산로 101, 월산마을주공11단지아파트상가 103호 (부곡동)"
5350000-049-2018-0024,동물미용업(일반),개미남,경상남도 김해시 봉황동 27-6 2층 ,"경상남도 김해시 김해대로 2319, 2층 (봉황동)"
5350000-049-2018-0026,동물미용업(일반),강아지 미용실,경상남도 김해시 외동 1212-3 ,경상남도 김해시 함박로 16 (외동)
5350000-049-2018-0033,동물미용업(일반),가필드캣,경상남도 김해시 외동 1094-3 ,경상남도 김해시 금관대로 1140 (외동)
5350000-049-2018-0035,동물미용업(일반),버블펫쌀롱,경상남도 김해시 관동동 1107-9 ,경상남도 김해시 율하카페길 105-39 (관동동)
5350000-049-2018-0037,동물미용업(일반),가필드캣,경상남도 김해시 외동 1094-3 ,경상남도 김해시 금관대로 1140 (외동)
5350000-049-2018-0039,동물미용업(일반),펫존애견할인마트,경상남도 김해시 율하동 1372-5 ,경상남도 김해시 율하2로 248 (율하동)
